"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
"1","Constable_2019_JEPHPP_Exp2","24","Female","R","/","/","/","Hungarian","/"
"2","Constable_2019_JEPHPP_Exp2","21","Female","R","/","/","/","Hungarian","/"
"3","Constable_2019_JEPHPP_Exp2","19","Female","R","/","/","/","Hungarian","/"
"4","Constable_2019_JEPHPP_Exp2","21","Female","R","/","/","/","Hungarian","/"
"5","Constable_2019_JEPHPP_Exp2","22","Female","R","/","/","/","Hungarian","/"
"6","Constable_2019_JEPHPP_Exp2","21","Female","R","/","/","/","Hungarian","/"
"7","Constable_2019_JEPHPP_Exp2","21","Female","R","/","/","/","Hungarian","/"
"8","Constable_2019_JEPHPP_Exp2","19","Male","L","/","/","/","Hungarian","/"
"9","Constable_2019_JEPHPP_Exp2","25","Male","R","/","/","/","Hungarian","/"
"10","Constable_2019_JEPHPP_Exp2","25","Male","L","/","/","/","Hungarian","/"
"11","Constable_2019_JEPHPP_Exp2","23","Female","R","/","/","/","Hungarian","/"
"12","Constable_2019_JEPHPP_Exp2","22","Female","L","/","/","/","Hungarian","/"
"13","Constable_2019_JEPHPP_Exp2","22","Female","L","/","/","/","Hungarian","/"
"14","Constable_2019_JEPHPP_Exp2","22","Male","R","/","/","/","Hungarian","/"
"15","Constable_2019_JEPHPP_Exp2","21","Female","L","/","/","/","Hungarian","/"
"16","Constable_2019_JEPHPP_Exp2","20","Female","R","/","/","/","Hungarian","/"
"17","Constable_2019_JEPHPP_Exp2","23","Female","R","/","/","/","Hungarian","/"
"18","Constable_2019_JEPHPP_Exp2","23","Female","R","/","/","/","Hungarian","/"
"19","Constable_2019_JEPHPP_Exp2","24","Female","R","/","/","/","Hungarian","/"
"20","Constable_2019_JEPHPP_Exp2","22","Female","R","/","/","/","Hungarian","/"
"21","Constable_2019_JEPHPP_Exp2","24","Female","R","/","/","/","Hungarian","/"
"22","Constable_2019_JEPHPP_Exp2","21","Female","L","/","/","/","Hungarian","/"
"23","Constable_2019_JEPHPP_Exp2","24","Male","R","/","/","/","Hungarian","/"
"24","Constable_2019_JEPHPP_Exp2","25","Female","R","/","/","/","Hungarian","/"
"25","Constable_2019_JEPHPP_Exp2","27","Male","R","/","/","/","Hungarian","/"
"26","Constable_2019_JEPHPP_Exp2","31","Female","R","/","/","/","Hungarian","/"
"27","Constable_2019_JEPHPP_Exp2","18","Female","R","/","/","/","Hungarian","/"
"28","Constable_2019_JEPHPP_Exp2","20","Female","R","/","/","/","Hungarian","/"
