"Subject_ID","Exp_id","Age","Gender","Handedness","Ethnicity","Employment_Status","Country","First_Language","Education"
6201,"Hu_2023_psyarxiv_Exp6b",21,"Male","R","/","/","/","/","/"
6202,"Hu_2023_psyarxiv_Exp6b",23,"Male","R","/","/","/","/","/"
6203,"Hu_2023_psyarxiv_Exp6b",20,"Male","R","/","/","/","/","/"
6204,"Hu_2023_psyarxiv_Exp6b",22,"Male","R","/","/","/","/","/"
6205,"Hu_2023_psyarxiv_Exp6b",21,"Female","R","/","/","/","/","/"
6206,"Hu_2023_psyarxiv_Exp6b",28,"Male","R","/","/","/","/","/"
6207,"Hu_2023_psyarxiv_Exp6b",21,"Male","R","/","/","/","/","/"
6208,"Hu_2023_psyarxiv_Exp6b",23,"Female","R","/","/","/","/","/"
6209,"Hu_2023_psyarxiv_Exp6b",22,"Male","R","/","/","/","/","/"
6210,"Hu_2023_psyarxiv_Exp6b",23,"Female","R","/","/","/","/","/"
6211,"Hu_2023_psyarxiv_Exp6b",23,"Female","R","/","/","/","/","/"
6212,"Hu_2023_psyarxiv_Exp6b",21,"Male","R","/","/","/","/","/"
6213,"Hu_2023_psyarxiv_Exp6b",21,"Female","R","/","/","/","/","/"
6214,"Hu_2023_psyarxiv_Exp6b",24,"Female","R","/","/","/","/","/"
6215,"Hu_2023_psyarxiv_Exp6b",22,"Female","R","/","/","/","/","/"
6216,"Hu_2023_psyarxiv_Exp6b",18,"Male","R","/","/","/","/","/"
6217,"Hu_2023_psyarxiv_Exp6b",NA,"Male","R","/","/","/","/","/"
6218,"Hu_2023_psyarxiv_Exp6b",22,"Male","R","/","/","/","/","/"
6219,"Hu_2023_psyarxiv_Exp6b",27,"Male","R","/","/","/","/","/"
6220,"Hu_2023_psyarxiv_Exp6b",27,"Male","R","/","/","/","/","/"
6221,"Hu_2023_psyarxiv_Exp6b",23,"Male","R","/","/","/","/","/"
6222,"Hu_2023_psyarxiv_Exp6b",26,"Female","R","/","/","/","/","/"
6223,"Hu_2023_psyarxiv_Exp6b",25,"Male","R","/","/","/","/","/"
